date,_id,date,code,close,vol,amount,delta,insert_time,ma5,ma20,ma60,macd,signal,rsi,volatility,vol_change,target_1,target_2,target_3,target_4,target_5
2017-01-19,68505d6d34a7c6e6d373adcb,2017-01-19,510500,5.349,180683,114608709.0,-0.35,2025-06-17 02:07:41.174,5.3748,5.5426,5.687733333333333,-0.07638606206884635,-0.052406167313714905,34.49367088607596,0.11167971120456223,-0.4010534760067359,0.0131,0.01,-0.0044,0.004,0.0069
2017-01-20,68505d6d34a7c6e6d373adcc,2017-01-20,510500,5.419,171705,109685276.0,1.31,2025-06-17 02:07:41.174,5.3632,5.5334,5.681783333333334,-0.07509064660307985,-0.0569430631715879,41.142857142857096,0.11399695286785229,-0.04968923473708098,0.01,-0.0044,0.004,0.0069,-0.0033
2017-01-23,68505d6d34a7c6e6d373adcd,2017-01-23,510500,5.473,119905,77351282.0,1.0,2025-06-17 02:07:41.174,5.3946,5.52895,5.677483333333333,-0.06891229378399721,-0.05933690929406976,41.47727272727272,0.11455748958950697,-0.30168020733234324,-0.0044,0.004,0.0069,-0.0033,0.0089
2017-01-24,68505d6d34a7c6e6d373adce,2017-01-24,510500,5.449,78742,50816369.0,-0.44,2025-06-17 02:07:41.174,5.4116,5.5232,5.673133333333333,-0.06520090859771788,-0.06050970915479939,33.63774733637749,0.11558710545456916,-0.34329677661482005,0.004,0.0069,-0.0033,0.0089,-0.0016
2017-01-25,68505d6d34a7c6e6d373adcf,2017-01-25,510500,5.471,49482,31972737.0,0.4,2025-06-17 02:07:41.174,5.4322,5.518,5.668116666666666,-0.059795112128721684,-0.06036678974958385,35.94674556213022,0.11547339634372535,-0.3715933047166696,0.0069,-0.0033,0.0089,-0.0016,0.0069
2017-01-26,68505d6d34a7c6e6d373add0,2017-01-26,510500,5.509,47476,30834785.0,0.69,2025-06-17 02:07:41.174,5.4642,5.51605,5.664716666666667,-0.051847036694280035,-0.05866283913852309,40.902474526928685,0.11526923860431373,-0.04053999434137667,-0.0033,0.0089,-0.0016,0.0069,0.005
2017-02-03,68505d6d34a7c6e6d373add1,2017-02-03,510500,5.491,69968,45400178.0,-0.33,2025-06-17 02:07:41.174,5.4786,5.51335,5.66055,-0.04646496008103718,-0.056223263327025916,35.75757575757575,0.11518784429652865,0.4737551605021484,0.0089,-0.0016,0.0069,0.005,0.0023
2017-02-06,68505d6d34a7c6e6d373add2,2017-02-06,510500,5.54,75508,49213963.0,0.89,2025-06-17 02:07:41.174,5.492,5.5132,5.657500000000001,-0.037809886266318316,-0.0525405879148844,41.48471615720527,0.11514914813313465,0.07917905328150021,-0.0016,0.0069,0.005,0.0023,0.0039
2017-02-07,68505d6d34a7c6e6d373add3,2017-02-07,510500,5.531,107213,70044876.0,-0.16,2025-06-17 02:07:41.174,5.5084,5.5100999999999996,5.654233333333334,-0.03131591235146747,-0.04829565280220101,43.91371340523881,0.11371335152824641,0.4198892832547545,0.0069,0.005,0.0023,0.0039,0.0009
2017-02-08,68505d6d34a7c6e6d373add4,2017-02-08,510500,5.569,58064,38025194.0,0.69,2025-06-17 02:07:41.174,5.5280000000000005,5.50535,5.650933333333333,-0.02283982552528485,-0.04320448734681778,52.35008103727712,0.10882543965354088,-0.4584238851631799,0.005,0.0023,0.0039,0.0009,-0.0098
2017-02-09,68505d6d34a7c6e6d373add5,2017-02-09,510500,5.597,69203,45737490.0,0.5,2025-06-17 02:07:41.174,5.545599999999999,5.502149999999999,5.649016666666667,-0.0137051156127459,-0.03730461300000341,60.30927835051541,0.10487700816719656,0.1918400385781207,0.0023,0.0039,0.0009,-0.0098,0.0068
2017-02-10,68505d6d34a7c6e6d373add6,2017-02-10,510500,5.61,98175,65021994.0,0.23,2025-06-17 02:07:41.174,5.5694,5.50095,5.645866666666667,-0.005355070916452043,-0.030914704583293137,83.87096774193532,0.10341611143946618,0.4186523705619698,0.0039,0.0009,-0.0098,0.0068,-0.0071
2017-02-13,68505d6d34a7c6e6d373add7,2017-02-13,510500,5.632,104930,69738830.0,0.39,2025-06-17 02:07:41.174,5.5878,5.4986,5.6423000000000005,0.003002999098210779,-0.024131163846992355,82.84313725490176,0.09962159985611366,0.06880570409982179,0.0009,-0.0098,0.0068,-0.0071,0.0134
2017-02-14,68505d6d34a7c6e6d373add8,2017-02-14,510500,5.637,88102,58578759.0,0.09,2025-06-17 02:07:41.174,5.609,5.4976,5.638616666666667,0.009915982738209372,-0.01732173452995201,82.8850855745719,0.09803565409421755,-0.16037358238825883,-0.0098,0.0068,-0.0071,0.0134,0.008
2017-02-15,68505d6d34a7c6e6d373add9,2017-02-15,510500,5.582,68905,45705334.0,-0.98,2025-06-17 02:07:41.174,5.6116,5.4962,5.63365,0.010831670971961138,-0.011691053429569383,76.17977528089877,0.09653447706987764,-0.21789516696556266,0.0068,-0.0071,0.0134,0.008,0.0047
2017-02-16,68505d6d34a7c6e6d373adda,2017-02-16,510500,5.62,85992,57000865.0,0.68,2025-06-17 02:07:41.174,5.6162,5.5002,5.629216666666666,0.014456991713823975,-0.0064614444008907115,74.3341404358353,0.10003872934228007,0.2479791016617081,-0.0071,0.0134,0.008,0.0047,0.0016
2017-02-17,68505d6d34a7c6e6d373addb,2017-02-17,510500,5.58,73543,48672315.0,-0.71,2025-06-17 02:07:41.174,5.6102,5.50535,5.6241,0.013941707489200539,-0.0023808140228724615,63.40852130325812,0.10142317548919877,-0.14476928086333607,0.0134,0.008,0.0047,0.0016,0.0003
2017-02-20,68505d6d34a7c6e6d373addc,2017-02-20,510500,5.655,62010,41199339.0,1.34,2025-06-17 02:07:41.174,5.6148,5.5222999999999995,5.6207,0.019362020903080257,0.001967752962318082,72.88888888888883,0.09631150119874186,-0.15681981969731995,0.008,0.0047,0.0016,0.0003,-0.0085
2017-02-21,68505d6d34a7c6e6d373addd,2017-02-21,510500,5.7,89040,59777118.0,0.8,2025-06-17 02:07:41.174,5.6274,5.5390999999999995,5.6180666666666665,0.026977798980585277,0.006969762165971521,74.20718816067645,0.09654990528490431,0.4358974358974359,0.0047,0.0016,0.0003,-0.0085,0.0035
2017-02-22,68505d6d34a7c6e6d373adde,2017-02-22,510500,5.727,176142,118975854.0,0.47,2025-06-17 02:07:41.174,5.6564,5.55705,5.614966666666667,0.03479098352586085,0.012534006437949389,73.59307359307351,0.09643731260853297,0.978234501347709,0.0016,0.0003,-0.0085,0.0035,0.0033
2017-02-23,68505d6d34a7c6e6d373addf,2017-02-23,510500,5.736,78809,53237861.0,0.16,2025-06-17 02:07:41.174,5.679600000000001,5.5764,5.61265,0.04123389468212135,0.01827398408678378,77.0419426048565,0.09117732866867875,-0.5525825754221025,0.0003,-0.0085,0.0035,0.0033,-0.0049
2017-02-24,68505d6d34a7c6e6d373ade0,2017-02-24,510500,5.738,103509,69959483.0,0.03,2025-06-17 02:07:41.174,5.7112,5.59235,5.610550000000001,0.045971401773981846,0.023813467624223397,74.38423645320199,0.09008900569640602,0.31341598040832896,-0.0085,0.0035,0.0033,-0.0049,0.0023
2017-02-27,68505d6d34a7c6e6d373ade1,2017-02-27,510500,5.689,92903,62779366.0,-0.85,2025-06-17 02:07:41.174,5.718000000000001,5.60315,5.60715,0.045250401327160183,0.02810085436481076,67.71300448430495,0.08794991098406017,-0.10246451999343054,0.0035,0.0033,-0.0049,0.0023,0.0096
2017-02-28,68505d6d34a7c6e6d373ade2,2017-02-28,510500,5.709,85565,57560355.0,0.35,2025-06-17 02:07:41.174,5.7198,5.61615,5.603799999999999,0.045765282443443134,0.031633739980537236,66.35514018691585,0.08304423361583381,-0.07898560864557658,0.0033,-0.0049,0.0023,0.0096,0.0028
2017-03-01,68505d6d34a7c6e6d373ade3,2017-03-01,510500,5.728,204830,138439084.0,0.33,2025-06-17 02:07:41.174,5.72,5.629,5.601349999999999,0.04716280716482313,0.03473955341739442,65.63245823389015,0.07919662406414305,1.3938526266580964,-0.0049,0.0023,0.0096,0.0028,-0.0038
2017-03-02,68505d6d34a7c6e6d373ade4,2017-03-02,510500,5.7,134972,91065149.0,-0.49,2025-06-17 02:07:41.174,5.7128,5.63855,5.59905,0.045486647819296344,0.036888972297774804,60.36866359447005,0.07538914831864073,-0.3410535566079188,0.0023,0.0096,0.0028,-0.0038,-0.0121
2017-03-03,68505d6d34a7c6e6d373ade5,2017-03-03,510500,5.713,139530,93919299.0,0.23,2025-06-17 02:07:41.174,5.7078,5.649649999999999,5.596383333333334,0.04469208824295112,0.03844959548681007,59.529411764705934,0.06855445396102584,0.03376996710428837,0.0096,0.0028,-0.0038,-0.0121,0.0032
2017-03-06,68505d6d34a7c6e6d373ade6,2017-03-06,510500,5.768,161568,109916722.0,0.96,2025-06-17 02:07:41.174,5.723599999999999,5.66105,5.596233333333333,0.04794772289689142,0.040349220968826344,63.78947368421056,0.06831773677380287,0.15794452805848214,0.0028,-0.0038,-0.0121,0.0032,0.0112
